,Id,Date,User,Tweet_Origin,Tweet_English,Tweet_English_Cleaned,Subjectivity,Polarity
0,1580295491367358464,2022-10-12 20:33:00+00:00,Gafni_Moshe,"באירוע שמחת בית השואבה המרכזית בביתר עילית בפני אלפי בחורי הישיבות, אמרתי:

מה שהם אומרים ומה שהם מנסים לעשות - זממם לא יעלה בידם. ואנחנו אומרים פה - אין לנו חלק איתם! https://t.co/7aLyZF2Tml","At the Central Shoeba House, Beitar Illit before thousands of yeshiva guys, I said: 

 What they say and what they are trying to do - their time will not rise. And we say here - we have no part with them!","At the Central Shoeba House, Beitar Illit before thousands of yeshiva guys, I said: 

 What they say and what they are trying to do - their time will not rise. And we say here - we have no part with them!",0.25,0.0
1,1580290391081111553,2022-10-12 20:12:44+00:00,Gafni_Moshe,אם ה' לא ישמר עיר שוא שקד שומר.,If the Lord does not preserve a city almond.,If the Lord does not preserve a city almond.,0.0,0.0
2,1580282816431935488,2022-10-12 19:42:38+00:00,Gafni_Moshe,"באירוע שמחת בית השואבה המרכזית בבית שמש בנוכחות אלפי איש, אמרתי:

אנו קוראים מכאן לשרת התחבורה, עזבי את השבת הקדושה, אנחנו לא רוצים את הדרך הזו שלך ושל החברים הרשעים שלך. אנחנו רוצים את דרך התורה ואת דגל התורה ונגיד לה את זה בקול רם בעוד שלושה שבועות בע""ה!. https://t.co/tLaluUfp8k","At the Central House of Shoeva, in Beit Shemesh in the presence of thousands of people, I said: 

 We call from here to the transport server, leave the sacred Sabbath, we don't want this way and your wicked friends. We want the Torah way and the Torah flag and tell it it loudly in three weeks at all!.","At the Central House of Shoeva, in Beit Shemesh in the presence of thousands of people, I said: 

 We call from here to the transport server, leave the sacred Sabbath, we don't want this way and your wicked friends. We want the Torah way and the Torah flag and tell it it loudly in three weeks at all!.",0.525,0.0625
3,1580187154507931648,2022-10-12 13:22:30+00:00,Gafni_Moshe,יישר כח @david_haham https://t.co/r1nBPCm6lf,well done,well done,0.0,0.0
4,1580176460546920451,2022-10-12 12:40:01+00:00,Gafni_Moshe,"בביקור חולים בבית חולים ""תל השומר"" יחד הרב אלי ברונר מ""עזר מציון"" https://t.co/PXKPQThO24","During a visit to Tel Hashomer Hospital, Rabbi Eli Broner of ""Ezer Mitzion"" together","During a visit to Tel Hashomer Hospital, Rabbi Eli Broner of ""Ezer Mitzion"" together",0.0,0.0
5,1580127688135938048,2022-10-12 09:26:12+00:00,Gafni_Moshe,מי זה? https://t.co/ulBrcUlNbj,Who is?,Who is?,0.0,0.0
6,1580117892196335616,2022-10-12 08:47:17+00:00,Gafni_Moshe,"במאבק על הציבוריות הישראלי ניצחנו.
ואנחנו חייבים לנצח ! https://t.co/LyQbI7GP30","In the fight for the Israeli public, we won. 
 And we must win","In the fight for the Israeli public, we won. 
 And we must win",0.23333333333333334,0.4
7,1580110805454172160,2022-10-12 08:19:07+00:00,Gafni_Moshe,"סקרתי בפני מרן הרב מאזוז שליט""א את השנה החולפת של הממשלה הרעה ואת תוכניותיה, ועל מערכת הבחירות הקריטית העומדת בפנינו. הרב בירך אותם בחמימות בברכת הצלחה וסיעתא דשמיא בכל מעשי ידיהם. https://t.co/0Btd6YeD1C","I reviewed Rabbi Rabbi Mazuz Shlita the past year of the bad government and its plans, and on the critical election campaign facing us.","I reviewed Rabbi Rabbi Mazuz Shlita the past year of the bad government and its plans, and on the critical election campaign facing us.",0.5722222222222223,-0.3166666666666666
8,1580110571474604032,2022-10-12 08:18:11+00:00,Gafni_Moshe,"יחד עם נציג בני התורה הספרדים דוד אוחנה והרב שמואל הלל קרליץ נכנסתי למעונו של ראש ישיבת כסא רחמים הגאון הרב מאיר מאזוז שליט""א בבני ברק. https://t.co/KOdiqdXZRf","Together with Spanish Torah representative David Ohana and Rabbi Shmuel Hillel Karlitz, I entered the residence of the head of the Mercy Chair of the genius Rabbi Meir Mazuz Shlita in Bnei Brak.","Together with Spanish Torah representative David Ohana and Rabbi Shmuel Hillel Karlitz, I entered the residence of the head of the Mercy Chair of the genius Rabbi Meir Mazuz Shlita in Bnei Brak.",0.0,0.0
9,1579954757417869312,2022-10-11 21:59:02+00:00,Gafni_Moshe,"קהל האלפים שבאו לשמוע את שיחת מרן ראש הישיבה הגרי""ג אדלשטיין שליט""א ברחוב ראב""ד בבני ברק.
צילום: שוקי לרר https://t.co/oGelX5RAbO","The Alps who came to hear the conversation of the rabbi of the GG Edelstein Shlita on Rabad Street in Bnei Brak. 
 Photo: Shuki Lerer","The Alps who came to hear the conversation of the rabbi of the GG Edelstein Shlita on Rabad Street in Bnei Brak. 
 Photo: Shuki Lerer",0.0,0.0
10,1579881354564890626,2022-10-11 17:07:22+00:00,Gafni_Moshe,"מפתיע ומרגש; נכדו של רה""מ בנימין נתניהו, שמואל רוט, בן 13 חגג היום בר מצווה ואת סיום כל הש""ס בבלי (הגמרא)
6 סדרים המקיפים כל נושא ביהדות, 43 מסכתות, 2711 דפים, 1,864,126 מילים.
רוט הצעיר התחיל ללמוד את הש""ס בגיל 10 ומדובר באירוע חריג בציבור החרדי. @netanyahu רק נחת! https://t.co/GclPdaB21s","Surprising and exciting; Prime Minister Benjamin Netanyahu, Samuel Roth, 13, celebrated today Bar Mitzvah and the end of the Shas Babylonian (Gemara) 
 6 Arrangements surrounding each subject in Judaism, 43 tracts, 2711 pages, 1,864,126 words. 
 The young Roth started studying Shas at the age of 10 and this is an unusual event in the ultra -Orthodox public. Just landed!","Surprising and exciting; Prime Minister Benjamin Netanyahu, Samuel Roth, 13, celebrated today Bar Mitzvah and the end of the Shas Babylonian (Gemara) 
 6 Arrangements surrounding each subject in Judaism, 43 tracts, 2711 pages, 1,864,126 words. 
 The young Roth started studying Shas at the age of 10 and this is an unusual event in the ultra -Orthodox public. Just landed!",0.5562499999999999,0.16041666666666668
11,1579812091372146688,2022-10-11 12:32:08+00:00,Gafni_Moshe,אשריכם תלמידי חכמים שדברי תורה חביבים עליכם ביותר. https://t.co/AAmAU93xqv,Blessed are smart students that the words of Torah are most affectionate.,Blessed are smart students that the words of Torah are most affectionate.,0.5714285714285714,0.35714285714285715
12,1579749683014270976,2022-10-11 08:24:09+00:00,Gafni_Moshe,"""לדעת לבחור""

בין ארבעה מינים ומפלגות מימין. בין אתרוג ללימון, בין לולב הדס לערבת סרק.

מימין ומשמאל. לדעת לבחור! https://t.co/pk0IGxdm1Q","“To know to choose” 

 Between four species and right parties. Between Ethrog and Lemon, between Lulav Hadas and mixing idle. 

 Right and left. Know to choose!","“To know to choose” 

 Between four species and right parties. Between Ethrog and Lemon, between Lulav Hadas and mixing idle. 

 Right and left. Know to choose!",0.35714285714285715,0.19047619047619047
13,1579578763498893312,2022-10-10 21:04:59+00:00,Gafni_Moshe,אסור להתעלם מהמראות הקשים והמתקפות שלך נגד שבת קודש. אזרחי ישראל חייבים לדעת את זה. https://t.co/cSJ29uVJXH,Your hard and attacked sights should not be ignored. Israeli citizens must know this.,Your hard and attacked sights should not be ignored. Israeli citizens must know this.,0.5416666666666666,-0.2916666666666667
