,Id,Date,User,Tweet_Origin,Tweet_English,Tweet_English_Cleaned,Subjectivity,Polarity
0,1580906571701571584,2022-10-14 13:01:13+00:00,NitzanHorowitz,"עושים את שוק תלפיות בחיפה עם פעילי מרצ. אחלה חיפה, אחלה שוק, אחלה מרצ. חג שמח. https://t.co/y9M5JG8QXn","Do the Talpiot market in Haifa with Meretz activists. Ahla Haifa, Ahla Market, Ahla Meretz. Happy holiday.","Do the Talpiot market in Haifa with Meretz activists. Ahla Haifa, Ahla Market, Ahla Meretz. Happy holiday.",1.0,0.8
1,1580283191331475457,2022-10-12 19:44:07+00:00,NitzanHorowitz,"נכון. וזאת למרות שנתניהו הסכים למכירת המטוסים לאמירויות מאחורי הגב של צה״ל ושר הביטחון. ולמרות שבתחילה שיקר והכחיש. ולמרות שהילל את ההסכמים כהישג אישי ענק שלו. למרות כל זאת, אנחנו כאופוזיציה תמכנו בהסכמים שהביא כי זו טובת המדינה. נתניהו נוהג הפוך כי רק טובתו האישית חשובה לו. https://t.co/K6hKtdAeuh","Right. This is despite the fact that Netanyahu agreed to sell the aircraft to the UAE behind the IDF and the defense minister. And although at first he lied and denied. And although he paved the agreements as his huge personal achievement. In spite of all this, we as opposition supported the agreements that led to the state's good. Netanyahu is the opposite that only his personal good is important to him.","Right. This is despite the fact that Netanyahu agreed to sell the aircraft to the UAE behind the IDF and the defense minister. And although at first he lied and denied. And although he paved the agreements as his huge personal achievement. In spite of all this, we as opposition supported the agreements that led to the state's good. Netanyahu is the opposite that only his personal good is important to him.",0.5699134199134199,0.21233766233766235
2,1580218867712143361,2022-10-12 15:28:31+00:00,NitzanHorowitz,"כדי להבין את השינוי שמבטא ההסכם עם לבנון - הנה ההגדרה של לבנון לקו הימי שלה שהפקידה באו״ם ב-2010: ״הקו בין לבנון ופלסטין”… 
עכשיו ההסכם החדש הוא במפורש ביחס לגבול עם ישראל, ע״פ דרישות הביטחון של ישראל, וכולל גם הסדר כלכלי איתה. וזה בדיוק מה שחיזבאללה פעל למנוע כל השנים. https://t.co/nLEEKLLxCw","To understand the change that expresses the agreement with Lebanon - here is Lebanon's definition of its naval line that the UN deposits in 2010: ""Remove between Lebanon and Palestine""… 
 Now the new agreement is explicitly in relation to the border of Israel, according to Israel's defense requirements, and also includes an economic arrangement with it. And that's exactly what Hezbollah has worked to prevent all these years.","To understand the change that expresses the agreement with Lebanon - here is Lebanon's definition of its naval line that the UN deposits in 2010: ""Remove between Lebanon and Palestine""… 
 Now the new agreement is explicitly in relation to the border of Israel, according to Israel's defense requirements, and also includes an economic arrangement with it. And that's exactly what Hezbollah has worked to prevent all these years.",0.3015151515151515,0.19545454545454546
3,1580200209828941824,2022-10-12 14:14:23+00:00,NitzanHorowitz,"בלי בושה - כמעט כל מילה שקר. לא ״מאחורי הגב״ - אלא בשקיפות מלאה. לא ״מעבירים לחיזבאללה״ כלום. ישראל היא שמקבלת נכסים אסטרטגייים. חיזבאללה התנגד במשך שנים להסכם כזה. ״איראן״? - ההסכם לא משרת אותה, להיפך. ועוד משהו - מי שבתקופתו התחמש חיזבאללה ״בטילים ורקטות נגד ישראל״ הוא נתניהו… https://t.co/DdeQMBeH8s","Unqualified - almost every false word. Not ""behind the border"" - but with full transparency. No ""transfer to Hezbollah"" anything. It is Israel that receives strategic assets. Hezbollah has for years opposed such an agreement. ""Iran""? - The agreement does not serve it, on the contrary. And something else - who has been hezbollah in ""Baths and Practices against Israel"" is Netanyahu…","Unqualified - almost every false word. Not ""behind the border"" - but with full transparency. No ""transfer to Hezbollah"" anything. It is Israel that receives strategic assets. Hezbollah has for years opposed such an agreement. ""Iran""? - The agreement does not serve it, on the contrary. And something else - who has been hezbollah in ""Baths and Practices against Israel"" is Netanyahu…",0.5874999999999999,0.03749999999999998
4,1580167487219302400,2022-10-12 12:04:21+00:00,NitzanHorowitz,"בקבינט קיימנו דיון מעמיק (לא בפעם הראשונה) בהסכם עם לבנון. מכל ההיבטים - ביטחוני, מדיני, כלכלי - ההסכם טוב וחשוב. הוא מבטיח את האינטרס הבטחוני בגבול הימי הקרוב, את חלקנו במאגר קאנה, ויציבות בהפקת הגז בכריש. וזה הסכם עם מדינת אויב שיש בו לגיטימציה ברורה לישראל.
בלב שלם הצבעתי בעד.","In the Cabinet, we held an in -depth (not for the first time) in an agreement with Lebanon. Of all aspects - security, political, economic - the agreement is good and important. He guarantees the security interest in the coming maritime border, our share of the Cana database, and stability in the gas production in Sharish. And this is an agreement with an enemy state that has a clear legitimacy to Israel. 
 I wholeheartedly voted for.","In the Cabinet, we held an in -depth (not for the first time) in an agreement with Lebanon. Of all aspects - security, political, economic - the agreement is good and important. He guarantees the security interest in the coming maritime border, our share of the Cana database, and stability in the gas production in Sharish. And this is an agreement with an enemy state that has a clear legitimacy to Israel. 
 I wholeheartedly voted for.",0.4361111111111111,0.27499999999999997
5,1579753222826528769,2022-10-11 08:38:13+00:00,NitzanHorowitz,"התקפות נתניהו על ההסכם עם לבנון אינן ביקורת לגיטימית, כי הן נגועות בשקרים בוטים. אין לי ספק שהוא יודע זאת היטב, ובכל זאת הוא מסית ומכפיש, גם כשמדובר באינטרסים החיוניים ביותר של המדינה. 
זה הסכם בעל חשיבות גדולה. הממשלה שלנו לא תירתע ממסכת השקרים ונמשיך בדרכנו לחתימה ההסטורית.","Netanyahu attacks on the agreement with Lebanon are not a legitimate criticism, because they are infected with blatant lies. I have no doubt that he knows it well, and yet he incorporates and discovered, even when it comes to the country's most essential interests. 
 This is a great importance. Our government will not shy away from the lies mask and continue on our way to the historical signature.","Netanyahu attacks on the agreement with Lebanon are not a legitimate criticism, because they are infected with blatant lies. I have no doubt that he knows it well, and yet he incorporates and discovered, even when it comes to the country's most essential interests. 
 This is a great importance. Our government will not shy away from the lies mask and continue on our way to the historical signature.",0.425,0.17500000000000002
6,1579382470893776897,2022-10-10 08:04:59+00:00,NitzanHorowitz,"יום חשוב במיוחד היום: יום בריאות הנפש העולמי. עשינו המון השנה, אבל במהפכה שהזנקתי בבריאות הנפש אני גאה במיוחד. תקציב תקדימי לשיקום תשתיות, לכח אדם, להוצאת מאושפזים כרוניים מבתי החולים, ומאבק בסטיגמה. אנחנו מציבים סטנדרט חדש למה שהיה החצר האחורית והזנוחה. את השינוי כבר רואים בשטח. https://t.co/y0q2lAFByl","A particularly important day today: World Mental Health Day. We did a lot of the year, but in the revolution I gave in mental health I am particularly proud. A precedent budget for infrastructure restoration, manpower, to remove chronic hospitals from hospitals, and a stigma struggle. We place a new standard for what was the back and abandoned courtyard. The change is already seen in the field.","A particularly important day today: World Mental Health Day. We did a lot of the year, but in the revolution I gave in mental health I am particularly proud. A precedent budget for infrastructure restoration, manpower, to remove chronic hospitals from hospitals, and a stigma struggle. We place a new standard for what was the back and abandoned courtyard. The change is already seen in the field.",0.40779220779220776,0.1623376623376623
7,1578789529334550529,2022-10-08 16:48:50+00:00,NitzanHorowitz,"חברי שר הבריאות של לטביה, דניאלס פבלוטס, טוען שמערכת הבריאות הישראלית היא מהטובות בעולם ואפילו מודל לחיקוי בתחום הדיגיטציה, ובוודאי בתחום רפואת החירום. העניין מעסיק מאוד את המדינות הבלטיות בגלל החשש מתוקפנות רוסיה. שמחתי לשוחח אותו על העמקת שיתוף הפעולה בין מערכות הבריאות שלנו. https://t.co/c87cpLNQqk","Members of Latvia's Health Minister Daniels Pavels claim that the Israeli health system is one of the best in the world and even a role model in digitization, and certainly in the field of emergency medicine. The matter is very concerned with the Baltic states because of the fear of Russia. I was happy to talk to him about deepening the collaboration between our health systems.","Members of Latvia's Health Minister Daniels Pavels claim that the Israeli health system is one of the best in the world and even a role model in digitization, and certainly in the field of emergency medicine. The matter is very concerned with the Baltic states because of the fear of Russia. I was happy to talk to him about deepening the collaboration between our health systems.",0.5428571428571429,0.5535714285714286
8,1578347722020904960,2022-10-07 11:33:15+00:00,NitzanHorowitz,"ברית הבריאות. עם חבר ושותף קרוב, שר הבריאות הקפריסאי, מיכליס חג׳יפנטלה (במרכז), ומנהל אזור אירופה בארגון הבריאות העולמי, ד״ר הנס קלוגה. אנחנו שלושה חברים שעושים הרבה דברים טובים יחד. שיתוף פעולה בינלאומי עם פוטנציאל עצום. 
חג שמח מלימסול. https://t.co/1olRfSDcPQ","Health Alliance. With a close friend and partner, Cypriot Health Minister Michalis Hajpahpantala (center), and the director of the European area at the World Health Organization, Dr. Hans Kluga. We are three friends who do a lot of good things together. International collaboration with huge potential. 
 Happy holiday from Limassol.","Health Alliance. With a close friend and partner, Cypriot Health Minister Michalis Hajpahpantala (center), and the director of the European area at the World Health Organization, Dr. Hans Kluga. We are three friends who do a lot of good things together. International collaboration with huge potential. 
 Happy holiday from Limassol.",0.5142857142857143,0.2571428571428572
9,1578314085657034752,2022-10-07 09:19:36+00:00,NitzanHorowitz,"שמח להציג את הנסיון הישראלי במאבק בקורונה בכנס הבריאות של האיחוד האירופי בקפריסין. אנחנו המדינה היחידה מחוץ לאיחוד שהוזמנה, ולא במקרה. אם פעם היינו צריכים לחזר על הפתחים, היום מדינות פונות אלינו לשיתופי פעולה בבריאות. והכל בזכות ההישגים של מערכת הבריאות שלנו שזוכים להערכה עצומה. https://t.co/wbqBvLkOXz","Glad to present the Israeli experience in the fight at Corona at the EU Health Conference in Cyprus. We are the only country outside the united united, and not by chance. If we once had to repeat the openings, today states are facing us for health collaborations. And all thanks to the achievements of our health system that are tremendous.","Glad to present the Israeli experience in the fight at Corona at the EU Health Conference in Cyprus. We are the only country outside the united united, and not by chance. If we once had to repeat the openings, today states are facing us for health collaborations. And all thanks to the achievements of our health system that are tremendous.",0.5416666666666666,0.1722222222222222
