,Id,Date,User,Tweet_Origin,Tweet_English,Tweet_English_Cleaned,Subjectivity,Polarity
0,1566445883939594243,2022-09-04 15:19:36+00:00,Gabi_Ashkenazi,"מברך את האלוף הרצי הלוי, אדם וקצין עתיר זכויות ונסיון, עם ההחלטה למנותו לרמטכ״ל ה-23 של צה״ל. 
אני מכיר את הרצי שנים רבות, הוא עמד בכל המבחנים והאתגרים ואין לי ספק שצה״ל מקבל מפקד משכמו ומעלה. 
תודה והערכה גם לאלוף זמיר, ברוך כשרונות אף הוא על עשרות שנות שרות משמעותי.
בהצלחה.","Welcome the Halevi champion, Adam and an officer -rich officer, with the decision to appoint him to the IDF's 23rd chief of staff. 
 I know the serious for many years, he stood in all the tests and challenges and I have no doubt that the IDF receives a commander of their own and above. 
 Thanks and also appreciation for champion Zamir, blessed as well as for decades of significant service. 
 Successfully.","Welcome the Halevi champion, Adam and an officer -rich officer, with the decision to appoint him to the IDF's 23rd chief of staff. 
 I know the serious for many years, he stood in all the tests and challenges and I have no doubt that the IDF receives a commander of their own and above. 
 Thanks and also appreciation for champion Zamir, blessed as well as for decades of significant service. 
 Successfully.",0.6601851851851852,0.362962962962963
1,1528343690388856832,2022-05-22 11:55:05+00:00,Gabi_Ashkenazi,"שבוע טוב,
אמנם אינני שותף כיום לעשיה הפוליטית, אבל אני חש שותף למדינה, לחברה הישראלית ולצה״ל. 
לא יעלה על הדעת שנהיה מאוחדים סביב זכרם ומורשת גבורתם ביום הזכרון ושלא נהיה מאוחדים סביב הוקרתם, השכלתם ועתידם.
לוחמות ולוחמי צה״ל מעל ומחוץ לכל ויכוח פוליטי. 
מקווה שהשכל הישר יגבר.","good week, 
 Although I am not a partner in political industry today, I feel a partner in the state, Israeli society and IDF. 
 It is inconceivable that we will be united around their memory and their heroism on the day of memory and that we will not be united around their recognition, education and future. 
 Fighters and IDF fighters above and outside for any political debate. 
 Hope the common sense will increase.","good week, 
 Although I am not a partner in political industry today, I feel a partner in the state, Israeli society and IDF. 
 It is inconceivable that we will be united around their memory and their heroism on the day of memory and that we will not be united around their recognition, education and future. 
 Fighters and IDF fighters above and outside for any political debate. 
 Hope the common sense will increase.",0.22500000000000003,0.05714285714285714
2,1432386061930541066,2021-08-30 16:53:44+00:00,Gabi_Ashkenazi,"תשעה ימים הוא נלחם על חייו, ויחד איתו, מדינה שלמה התפללה עליו.
אני בטוח שהצבא מתחקר את הארוע ויפיק ממנו לקחים.
הציבור כולו ימשיך לחבק ולנחם את משפחתו של הלוחם סמ""ר בראל חדריה שמואלי ז״ל.
יהי זכרו ברוך https://t.co/JW2GVF2XaF","Nine days he fought for his life, and together with him, a whole country prayed for him. 
 I'm sure the army is investigating the event and less lessons. 
 The entire public will continue to embrace and comfort the family of warrior Samar Barel in the room that Mueli Zel. 
 Of blessed memory","Nine days he fought for his life, and together with him, a whole country prayed for him. 
 I'm sure the army is investigating the event and less lessons. 
 The entire public will continue to embrace and comfort the family of warrior Samar Barel in the room that Mueli Zel. 
 Of blessed memory",0.4094444444444444,0.10666666666666666
3,1418226520934391812,2021-07-22 15:08:46+00:00,Gabi_Ashkenazi,"2/2
שאפו ענק לעובדי @IsraelMFA שעסקו במלאכה והביאו להישג הדיפלומטי, לראש האגף, @AlizaBinNoun, לאנשי השגרירויות ביבשת ולכל מי שתרם למימוש המהלך החשוב, שיסייע לישראל לחזק ולהגביר את יחסינו בתחומי הבריאות, כלכלה, ביטחון ותחומים נוספים רבים מול מדינות היבשת השותפות בארגון.","2/2 
 A huge aspiration for employees who were engaged in the craft and led to the diplomatic achievement, the head of the wing, the embassies on the continent and to anyone who contributed to the realization of the important move, to help Israel strengthen and increase our relations in health, economics, security and many other areas with the continent's states in the organization.","2/2 
 A huge aspiration for employees who were engaged in the craft and led to the diplomatic achievement, the head of the wing, the embassies on the continent and to anyone who contributed to the realization of the important move, to help Israel strengthen and increase our relations in health, economics, security and many other areas with the continent's states in the organization.",0.69375,0.29375
4,1418226518807908357,2021-07-22 15:08:46+00:00,Gabi_Ashkenazi,"1/2
שמחתי לשמוע על החלטת האיחוד האפריקאי לצרף את ישראל לאיחוד במעמד משקיפה.
מדובר בצעד מדיני אסטרטגי חשוב למדינת ישראל, שהצבתי כאחד מיעדי הליבה של המשרד, המגיע למימוש היום עם הגשת כתב האמנה של שגריר ישראל באדיס אבבה.
@IsraelinET","1/2 
 I was glad to hear about the African Union decision to attach Israel to the union in a view. 
 This is an important strategic political move for the State of Israel, which I have set as one of the ministry's core objectives, which comes to realize today with the submission of the Israeli Ambassador to Edis Ababa. 
 @Israelinet","1/2 
 I was glad to hear about the African Union decision to attach Israel to the union in a view. 
 This is an important strategic political move for the State of Israel, which I have set as one of the ministry's core objectives, which comes to realize today with the submission of the Israeli Ambassador to Edis Ababa. 
 ",0.525,0.225
5,1415281400861929473,2021-07-14 12:05:55+00:00,Gabi_Ashkenazi,"2/2
מתרחב והופך לשלום חם בין אנשים,
רק לפני עשרה חודשים מי היה מאמין…
200,000 תיירים ואנשי עסקים ביקרו באמירויות, שיתופי פעולה במיליארדי דולרים, מכוני מחקר, בתי חולים וגופים ממשלתיים, תובלה ימית, טיסות יומיות ועוד.
אכן שלום אחר.
תודה לאנשי משרד החוץ שעסקו ועוסקים במלאכה.","2/2 
 Expands and becomes a warm peace between people, 
 Just ten months ago who would have believed… 
 200,000 tourists and businessmen visited the Emirates, collaborations in billions of dollars, research institutes, hospitals and government bodies, marine transport, daily flights and more. 
 Indeed another peace. 
 Thanks to the Foreign Ministry members who have been engaged and dealing with the craft.","2/2 
 Expands and becomes a warm peace between people, 
 Just ten months ago who would have believed… 
 200,000 tourists and businessmen visited the Emirates, collaborations in billions of dollars, research institutes, hospitals and government bodies, marine transport, daily flights and more. 
 Indeed another peace. 
 Thanks to the Foreign Ministry members who have been engaged and dealing with the craft.",0.23750000000000002,0.19583333333333333
6,1415281398165000195,2021-07-14 12:05:54+00:00,Gabi_Ashkenazi,"1/2
שמחתי להענות להזמנת השגריר האמירתי להשתתף בטקס חנוכת השגרירות במשכנה החדש.
מעמד מרגש עליו עמלנו שנה שלמה המתקיים שבוע לאחר טקס חנוכת השגרירות הישראלית באבו דאבי והנציגות בדובאי.
אני שמח לראות כיצד השלום בינינו, ""שלום אחר"", כפי שקראתי לו, קורם עור וגידים https://t.co/mkl9Hltv2P","1/2 
 I was glad to respond to the amazing ambassador to attend the inauguration ceremony in the new residence. 
 An exciting status on which we have worked for a whole year held a week after the inauguration of the Israeli Embassy in Abu Dhabi and the Dubai representative. 
 I am happy to see how peace between us, another peace, as I called him, reads skin and tendons","1/2 
 I was glad to respond to the amazing ambassador to attend the inauguration ceremony in the new residence. 
 An exciting status on which we have worked for a whole year held a week after the inauguration of the Israeli Embassy in Abu Dhabi and the Dubai representative. 
 I am happy to see how peace between us, another peace, as I called him, reads skin and tendons",0.7590909090909091,0.4227272727272727
7,1404382719988092932,2021-06-14 10:18:27+00:00,Gabi_Ashkenazi,"ברוך הבא למשרד החוץ, שר החוץ הנכנס וראש הממשלה החליפי @yairlapid .
מאחל לך הצלחה רבה, יש לך שותפים נפלאים לדרך. עלו והצליחו. https://t.co/9oT19jOE0H","Welcome to the Foreign Ministry, the incoming foreign minister and the replacement prime minister. 
 Wish you great success, you have wonderful partners. Go forth and succeed.","Welcome to the Foreign Ministry, the incoming foreign minister and the replacement prime minister. 
 Wish you great success, you have wonderful partners. Go forth and succeed.",0.48333333333333334,0.4416666666666667
8,1401974203050610697,2021-06-07 18:47:52+00:00,Gabi_Ashkenazi,"את אות המערכה שלי אני מקדיש ומעניק למי שליוו אותי בעשרות שנים של לחימה עיקשת בדרום לבנון בהגנת יישובי הצפון, בכל נוהל קרב, בצירים, בבולדרים. למשפחתי, אך בעיקר למשפחות השכולות, לאחיי לנשק שמסרו נפשם, לחבריי, לקציני וחיילי צד""ל.

יהי זכר הנופלים ברצועת הביטחון בלבנון ברוך. https://t.co/TLQfshgy3A","I dedicate my signal signal and give me to those who accompanied me for decades of stubborn fighting in southern Lebanon in the defense of the northern communities, in any battle procedure, in the contractions, in boulders. For my family, but mainly for bereaved families, my brothers who have given their souls, my friends, officers and national soldiers. 

 May the male fall in the security band in Lebanon Baruch.","I dedicate my signal signal and give me to those who accompanied me for decades of stubborn fighting in southern Lebanon in the defense of the northern communities, in any battle procedure, in the contractions, in boulders. For my family, but mainly for bereaved families, my brothers who have given their souls, my friends, officers and national soldiers. 

 May the male fall in the security band in Lebanon Baruch.",0.14444444444444446,0.05555555555555555
9,1401948791088033796,2021-06-07 17:06:53+00:00,Gabi_Ashkenazi,"את אות המערכה שלי, אני מבקש להקדיש ולהעניק למי שליוו אותי בעשרות שנים של לחימה בסבך הלבנוני ובהגנה על יישובי הצפון. בראשונה, למשפחתי, 
אך בעיקר למשפחות השכולות, לאחיי לנשק שמסרו נפשם, ולקציני וחיילי צד""ל.
יהי זכר הנופלים בלחימה המתמשכת בדרום לבנון ובהגנה על יישובי הצפון ברוך!","I would like to devote and give those who accompanied me for decades of fighting in the Lebanese tangle and protecting the northern communities. First, to my family, 
 But especially for the bereaved families, my brothers for weapons that have been handed over, and to the officers and the Soldiers of Snits. 
 May the male who fall in the ongoing fighting in southern Lebanon and protect the Northern settlements Baruch!","I would like to devote and give those who accompanied me for decades of fighting in the Lebanese tangle and protecting the northern communities. First, to my family, 
 But especially for the bereaved families, my brothers for weapons that have been handed over, and to the officers and the Soldiers of Snits. 
 May the male who fall in the ongoing fighting in southern Lebanon and protect the Northern settlements Baruch!",0.35833333333333334,0.0625
