,Id,Date,User,Tweet_Origin,Tweet_English,Tweet_English_Cleaned,Subjectivity,Polarity
0,1553664535726362626,2022-07-31 08:51:05+00:00,mnsorabbas,פגישתי עם סגן שר החוץ הגרמני דר' טוביאס לינדנר ، ושגריר גרמניה החדש בישראל שטיפן זייברט . https://t.co/k8duJ3EO80,I met with German Deputy Foreign Minister Dr. Tobias Lindner ، and the new German ambassador to Israel that Stefan Zeibert.,I met with German Deputy Foreign Minister Dr. Tobias Lindner ، and the new German ambassador to Israel that Stefan Zeibert.,0.14488636363636365,0.0028409090909090884
1,1552383462987923456,2022-07-27 20:00:34+00:00,mnsorabbas,"עוד רצח, ועוד רצח! 60 נרצחים מתחילת השנה. לפי נתוני מרכז ״אמאן״ : 30 נרצחים בחמשת החודשים הראשונים , ו 30 נרצחים בחודשיים האחרונים. 
מאז היציאה לבחירות חמישיות יש התרסקות במאמצים למיגור הפשיעה המאורגנת בחברה הערבית. 
שלטון החוק הובס לטובת שלטון ארגוני הפשע. מחדל מתמשך של 15 שנים.","Another murder, and another murder! 60 are murdered from the beginning of the year. According to the AMM Center data: 30 are murdered in the first five months, and 30 are murdered in the last two months. 
 Since leaving for fifth elections, there have been crashing in efforts to eradicate organized crime in Arab society. 
 The rule of law was defeated for the benefit of crime organizations. Ongoing 15 years.","Another murder, and another murder! 60 are murdered from the beginning of the year. According to the AMM Center data: 30 are murdered in the first five months, and 30 are murdered in the last two months. 
 Since leaving for fifth elections, there have been crashing in efforts to eradicate organized crime in Arab society. 
 The rule of law was defeated for the benefit of crime organizations. Ongoing 15 years.",0.16666666666666666,0.049999999999999996
2,1520030973127237638,2022-04-29 13:23:19+00:00,mnsorabbas,"מפגישתי אתמול עם ברבל באס, נשיאת הבונדסטאג (הפרלמנט) הגרמני במלון מלך דוד בירושלים. מנהיגה מרשימה! https://t.co/E23DNNQYIZ","I brought with Barbel Bass yesterday, the German Bondstag (Parliament) president at the King David Hotel in Jerusalem. Impressive leader!","I brought with Barbel Bass yesterday, the German Bondstag (Parliament) president at the King David Hotel in Jerusalem. Impressive leader!",0.5,0.2833333333333333
3,1508914140097794048,2022-03-29 21:08:59+00:00,mnsorabbas,"אני מחויב לכלל אזרחי המדינה, תפקידנו כמנהיגים שנפעל בכל הכוח על מנת לדאוג לזה שהחגים של כולנו יעברו בשקט, ושכולם יחגגו עם משפחותיהם, איפה שירצו, ללא פחד. מי ייתן וכל משאלות ליבנו לשלום ואחוה אכן יתגשמו.","I am committed to all citizens of the state, our role as leaders who will act with all power to make sure that we all pass quietly, and that everyone will celebrate with their families, where they will, without fear. May all our hearts for peace and will come true.","I am committed to all citizens of the state, our role as leaders who will act with all power to make sure that we all pass quietly, and that everyone will celebrate with their families, where they will, without fear. May all our hearts for peace and will come true.",0.6240740740740741,0.2833333333333333
4,1508914138705186816,2022-03-29 21:08:59+00:00,mnsorabbas,אי אפשר לא להבחין בקבוצות אינטרסנטים קיצוניות שמתעקשות לפגוע במרקם היחסים בין יהודים לערבים במדינה. לא ניתן להם. לזה אני מחויב ומתחייב שוב ושוב.,It is impossible not to notice extreme interests that insist on hurting the fabric of Jewish -Arabs relationships in the country. Not allowed them. I am committed and committed again and again.,It is impossible not to notice extreme interests that insist on hurting the fabric of Jewish -Arabs relationships in the country. Not allowed them. I am committed and committed again and again.,0.6666666666666666,-0.2638888888888889
5,1508914137224601606,2022-03-29 21:08:59+00:00,mnsorabbas,"לא נסתפק בגינויים והודעות תנחומים, כי הטרור לא מפסיק ולא מרכין ראש. אנו נחושים לצאת לדרך השלום על אפתם וחמתם של כל הקיצוניים, ואנו נחושים לעשות הכל על מנת למנוע פגיעה מחודשת באזרחים חפים מפשע.","We will not settle for condemnation and condolence messages, because terrorism does not stop or bow head. We are determined to go on the peace path of all the extremists, and we are determined to do everything to prevent re -impairment in innocent civilians.","We will not settle for condemnation and condolence messages, because terrorism does not stop or bow head. We are determined to go on the peace path of all the extremists, and we are determined to do everything to prevent re -impairment in innocent civilians.",0.7,0.5
6,1508914135823757320,2022-03-29 21:08:58+00:00,mnsorabbas,"רמדאן, פסח ופסחה מתקרבים, חובתנו המוסרית, הדתית והמנהיגותית כממשיכי דרכו של הנביא אברהם ובני שלושת הדתות, היא ליזום תהליך פיוס ושותפות מושתת על ערכי הדת והאמונה באלוקים, ובערכים האנושיים האוניברסליים שמחנכים לסובלנות, שלום וקדושת חיי אדם באשר הוא, וכמובן נגד שנאה, פשיעה ואלימות.","Ramadan, Passover and Passover are approaching, our moral, religious and leadership duty as the successors of Prophet Abraham and the sons of the three religions is to initiate a reconciliation process and partnerships on the values of religion and faith in God, and the universal human values that educate to tolerance, peace and sanctity of human life, And violence.","Ramadan, Passover and Passover are approaching, our moral, religious and leadership duty as the successors of Prophet Abraham and the sons of the three religions is to initiate a reconciliation process and partnerships on the values of religion and faith in God, and the universal human values that educate to tolerance, peace and sanctity of human life, And violence.",0.11666666666666665,0.0
7,1508914134385049611,2022-03-29 21:08:58+00:00,mnsorabbas,"בבני ברק התרחש היום פשע טרור מתועב ומגונה, נגד אזרחים חפים מפשע . משתתף בצער המשפחות ומאחל רפואה שלמה לפצועים. 
כולנו ביחד ניצבים מול גל טרור רצחני, כולנו ללא הבדל. רחובות הערים בישראל גדושים באזרחים ערבים ויהודים, ומי שיוצא במסע הרג נבזה לא מבחין ולא מבדיל בין דם לדם.","Bnei Brak today occurred in abominable and magnificent terrorist, against innocent civilians. Participates in the grief of the families and wish for an entire medicine to the wounded. 
 We are all together facing a murderous wave of terror, we are all regardless. The streets of the cities in Israel are full of Arab and Jewish citizens, and those who leave the killing campaign discern does not distinguish or differentiate between blood and blood.","Bnei Brak today occurred in abominable and magnificent terrorist, against innocent civilians. Participates in the grief of the families and wish for an entire medicine to the wounded. 
 We are all together facing a murderous wave of terror, we are all regardless. The streets of the cities in Israel are full of Arab and Jewish citizens, and those who leave the killing campaign discern does not distinguish or differentiate between blood and blood.",0.5125000000000001,0.17499999999999996
8,1508182708396036096,2022-03-27 20:42:33+00:00,mnsorabbas,"אני קורא לכל המנהיגים הפוליטיים, הדתיים והחינוכיים בחברה הערבית לעבוד ביחד כדי לקבוע את הצעדים המעשיים שיש לנקוט כדי להתמודד עם האתגר של פושעים שהם עשבים שוטים בחברה הערבית .
אני קורא לכל האזרחים הערבים והיהודים לנהוג באיפוק ולפעול באחריות מרבית בהתמודדות עם התפתחות מסוכנת זו.","I urge all political, religious and educational leaders in Arab society to work together to determine the practical steps to be taken to deal with the challenge of criminals who are weeds in Arab society. 
 I urge all Arab and Jewish citizens to drive restraint and act at maximum responsibility in dealing with this dangerous development.","I urge all political, religious and educational leaders in Arab society to work together to determine the practical steps to be taken to deal with the challenge of criminals who are weeds in Arab society. 
 I urge all Arab and Jewish citizens to drive restraint and act at maximum responsibility in dealing with this dangerous development.",0.3,-0.06999999999999999
9,1508182705665712130,2022-03-27 20:42:32+00:00,mnsorabbas,"מגנה את הפשע הנתעב בעיר חדרה, מדובר בטרור דאעשי נתעב שאינו מייצג את החברה הערבית בישראל, המחפשת חיים בכבוד במסגרת שלטון החוק, ובמסגרת מערכת ערכים המכבדת ומקדשת חיי אדם, חיים משותפים ערבי ויהודי, וערכי שלום וסובלנות.  תנחומיי למשפחות הנרצחים, ומאחל החלמה מהירה לפצועים.","Protects the hidden crime in Hadera, it is a despicable ISIS terror that does not represent Arab society in Israel, looking for a life with respect as part of the rule of law, and within a system of values that respects and dedicated human life, an Arab and Jewish life, and peace and tolerance. My condolences to the murdered families, and wish quick recovery to the wounded.","Protects the hidden crime in Hadera, it is a despicable ISIS terror that does not represent Arab society in Israel, looking for a life with respect as part of the rule of law, and within a system of values that respects and dedicated human life, an Arab and Jewish life, and peace and tolerance. My condolences to the murdered families, and wish quick recovery to the wounded.",0.23333333333333334,0.041666666666666664
10,1506308934235217920,2022-03-22 16:36:50+00:00,mnsorabbas,"רע״מ מגנה את הפיגוע הנפשע בבאר שבע, ושולחת תנחומיה למשפחות הנרצחים ומאחלת החלמה שלמה לפצועים. אזרחי המדינה הערבים שומרי חוק ומוקעים מתוכם כל גורם שמשתמש באלימות נגד אזרחים אחרים.
רע״מ קוראת לכל האזרחים לשמור על מרקם החיים המשותף והעדין, לגלות אחריות ולקדם שיח סובלני בשעה קשה זו.","Back condemns the criminal attack in Be'er Sheva, and sends its condolences to the murdered families and wish a complete recovery to the wounded. The Arab citizens of the country are lawful and disturbed by any factor that uses violence against other citizens. 
 Back calls all citizens to maintain the texture of the joint and delicate life, to discover responsibility and promote a tolerant discourse at this difficult time.","Back condemns the criminal attack in Be'er Sheva, and sends its condolences to the murdered families and wish a complete recovery to the wounded. The Arab citizens of the country are lawful and disturbed by any factor that uses violence against other citizens. 
 Back calls all citizens to maintain the texture of the joint and delicate life, to discover responsibility and promote a tolerant discourse at this difficult time.",0.403125,-0.153125
11,1481294211429416966,2022-01-12 15:57:15+00:00,mnsorabbas,"אין מנצחים ומפסידים, כולנו ביחד כאזרחים ננצח כאשר ניטע תקווה ונתן לתושבי הנגב לחיות ולהתפרנס בכבוד.
ההסדרה בנגב היא אינטרס של כולנו, יהודים וערבים, נקדם בהדברות שתביא להסכמות מקובלות.
ממשלות ישראל נכשלו בטיפול בסוגיות הנגב, ביחד נשקם את מרקם היחסים והנגב יפרח וישגשג לטובת כלנו.","There are no winners and losers, we are all together as citizens we will win when we have planted hope and let the residents of the Negev live and earn a living. 
 The arrangement in the Negev is an interest in all of us, Jews and Arabs, will advance in the pads that will bring acceptable agreements. 
 The Israeli governments failed to treat the Negev issues, together they kissed the texture of the relationship and the Negev would bloom and thrive for all of us.","There are no winners and losers, we are all together as citizens we will win when we have planted hope and let the residents of the Negev live and earn a living. 
 The arrangement in the Negev is an interest in all of us, Jews and Arabs, will advance in the pads that will bring acceptable agreements. 
 The Israeli governments failed to treat the Negev issues, together they kissed the texture of the relationship and the Negev would bloom and thrive for all of us.",0.35000000000000003,0.05909090909090911
12,1480606073983803397,2022-01-10 18:22:51+00:00,mnsorabbas,"בתגובה לנטיעות בנגב לביקור המתוכנן שלנתניהו לשטח הנטיעות: נתניהו הסכים להפסיק את הנטיעות בנגב בשנת 2020. 
אין שום מקום לחדש אותם היום, במיוחד שאנחנו מקדמים מתווה הוגן, שיאפשר לאזרחים הבדאויים לחיות ולהתפרנס בכבוד. הם לא פולשים! הם נולדו כאן וישארו כאן. עץ לא חשוב יותר מבן אדם.","In response to planting in the Negev for the planned visit to Netanyahu to the planting area: Netanyahu agreed to quit planting in the Negev in 2020. 
 There is no place to renew them today, especially that we promote a fair outline, which will allow Bvihi citizens to live and earn a living. They are not invading! They were born here and stay here. A tree is no more important than a person.","In response to planting in the Negev for the planned visit to Netanyahu to the planting area: Netanyahu agreed to quit planting in the Negev in 2020. 
 There is no place to renew them today, especially that we promote a fair outline, which will allow Bvihi citizens to live and earn a living. They are not invading! They were born here and stay here. A tree is no more important than a person.",0.78,0.2040909090909091
13,1480200970978136066,2022-01-09 15:33:06+00:00,mnsorabbas,פגישה עבודה עם כבוד נשיא המדינה יצחק הרצוג. הנשיא מודע היטב לכל האתגרים והמצוקות שאנחנו מנסים לתת להם מענה בחברה הערבית. הנשיא הביע נכונות לעזור וגם לתמוך. https://t.co/rKqsPTeQWm,A work meeting with the respect of State President Yitzhak Herzog. The president is well aware of all the challenges and distress we are trying to address in Arab society. The president expressed willingness to help and support.,A work meeting with the respect of State President Yitzhak Herzog. The president is well aware of all the challenges and distress we are trying to address in Arab society. The president expressed willingness to help and support.,0.25,0.25
14,1468489188819542017,2021-12-08 07:54:40+00:00,mnsorabbas,"באתי לפוליטיקה בשליחות ערכית ומוסרית: לקדם שיח פוליטי סובלני ושותפות אמת, לטובת כל אזרחי המדינה.
לא מספיק להתפלל לשלום, מוכרחים לפעול להגשימו, קודם בין כל אזרחי ישראל.
בן גביר וסמוטריץ לא למדו היסטוריה יהודית: עלילות דם והאשמות שווא היו נחלתם של שונאי היהודים. שניהם הולכים בדרכם","I came to politics on a moral and moral mission: to promote tolerant political discourse and true partnership, for all citizens of the state. 
 It is not enough to pray for peace, you have to act, first among all citizens of Israel. 
 Ben Gvir and Smutrich did not study Jewish history: blood stories and false accusations were the land of the Jewish haters. Both are going on their way","I came to politics on a moral and moral mission: to promote tolerant political discourse and true partnership, for all citizens of the state. 
 It is not enough to pray for peace, you have to act, first among all citizens of Israel. 
 Ben Gvir and Smutrich did not study Jewish history: blood stories and false accusations were the land of the Jewish haters. Both are going on their way",0.29814814814814816,0.022222222222222213
15,1463162812142923783,2021-11-23 15:09:33+00:00,mnsorabbas,"נגמרו הזמנים שהיינו בהם עוד מספר חסר השפעה ומשמעות בפוליטיקה הישראלית. 
כן נגמרו הזמנים בהם קראו לתוכניות שלנו לפי מספר סידורי רנדומלי.
היום יש לתוכניות שלנו שם, ומשמעות: ""תקאדום"" השם מסמל בהחלט את השינוי שרע""מ מביאה לחברה הישראלית והערבית בפרט. ולכל אלה שמנסים להכשיל: תתקדמו!","The times we had another number of influence and meaning in Israeli politics. 
 The times they called our plans by random arrangements were over. 
 Today, our plans have a name, meaning: ""normal"" the name certainly symbolizes the change that VAT brings to Israeli and Arab society in particular. And for all those who try to fail: progress!","The times we had another number of influence and meaning in Israeli politics. 
 The times they called our plans by random arrangements were over. 
 Today, our plans have a name, meaning: ""normal"" the name certainly symbolizes the change that VAT brings to Israeli and Arab society in particular. And for all those who try to fail: progress!",0.4709523809523809,-0.11880952380952381
16,1462428446064320513,2021-11-21 14:31:26+00:00,mnsorabbas,"לאורך עשורים רע״מ התנגדה וגינתה ופעלה כדי למנוע פגיעה בחפים מפשע בשני הצדדים, במיוחד כאשר מדובר באזרחים תמימים. רע״מ תמיד קראה לשמור על קדושת החיים, ולהימנע מכל סוג של אלימות, ולשאוף לחיות ביחד בשלום בביטחון בשותפות ובסובלנות. הליכוד לא יכול להטיף מוסר לרע״מ ולמנסור עבאס, נקודה.","For a bad decade, she resisted and shifted to prevent injury to innocent on both sides, especially when it comes to innocent civilians. Bad always called to keep the sanctity of life, and avoid any kind of violence, and to strive to live together in peace with partnership and tolerance. The Likud cannot preach morality to the bad and to Mansor Abbas, a point.","For a bad decade, she resisted and shifted to prevent injury to innocent on both sides, especially when it comes to innocent civilians. Bad always called to keep the sanctity of life, and avoid any kind of violence, and to strive to live together in peace with partnership and tolerance. The Likud cannot preach morality to the bad and to Mansor Abbas, a point.",0.725,-0.0454545454545454
17,1456465207719571475,2021-11-05 03:35:39+00:00,mnsorabbas,"לאזרחים יש בשורה ותקוה
פעם ראשונה שמפלגה ערבית לוקחת חלק מרכזי בהעברת התקציב ובהקמת הקואלציה.
זהו צעד חשוב בתהליך ההשתלבות הפוליטית, ומימוש הזכות לשותפות אזרחית, ולקיחת אחריות קולקטיבית, לטובת כל האזרחים ערבים ויהודים. רע״מ תמשיך לקדם שיח סובלני ומגשר ואחראי בין כל אזרחי המדינה.","Citizens have a row and hope 
 The first time an Arab party takes a key part of moving the budget and the construction of the container. 
 This is an important step in the political integration process, and the realization of the right to a civilian partnership, and to take collective responsibility, for the benefit of all Arab and Jewish citizens. Back will continue to promote a tolerant and mediator and responsible among all citizens of the state.","Citizens have a row and hope 
 The first time an Arab party takes a key part of moving the budget and the construction of the container. 
 This is an important step in the political integration process, and the realization of the right to a civilian partnership, and to take collective responsibility, for the benefit of all Arab and Jewish citizens. Back will continue to promote a tolerant and mediator and responsible among all citizens of the state.",0.4398809523809524,0.1419642857142857
18,1454543727679115266,2021-10-30 20:20:23+00:00,mnsorabbas,"בפתח שבוע גורלי לטובת המדינה ואזרחיה, נתניהו מגייס את כל זרועותיו לקמפיין הסתה, הכפשה, פילוג והאשמות שווא. כל זה לא יצליח. 
אזרחי המדינה מאמינים אך ורק לרשויות החוק שנתניהו עמל במשך שנים כדי להחלישן.

אבו יאיר, אתה מוזמן לפנות לרשויות החוק במקום לעסוק בהדלפות ותדרוכים שקריים.","At the door of a fateful week for the benefit of the state and its citizens, Netanyahu recruits all his arms to the incitement, subordination, split and false charges. All this will not succeed. 
 The citizens of the state believe only to the law authorities that Netanyahu worked for years to weaken. 

 Abu Yair, you are welcome to contact the law authorities instead of engaging in false leaks and tutorials.","At the door of a fateful week for the benefit of the state and its citizens, Netanyahu recruits all his arms to the incitement, subordination, split and false charges. All this will not succeed. 
 The citizens of the state believe only to the law authorities that Netanyahu worked for years to weaken. 

 Abu Yair, you are welcome to contact the law authorities instead of engaging in false leaks and tutorials.",0.76,0.07999999999999999
19,1454079056497020931,2021-10-29 13:33:57+00:00,mnsorabbas,"כבוד הנשיא @Isaac_Herzog מבקר בכפר קאסם ביום הזיכרון לטבח הנורא בשנת 1956, שנרצחו בו 49 ילדים נשים וגברים, בחזרתם מיום עבודה באדמותיהם. הנשיא נגע באחת הנקודות הכואבות, ביחס בין המדינה לאזרחים הערבים, והוכיח שהוא נשיא של כל האזרחים, הפגין מנהיגות, והציג חזון של תקוה ושותפות אמת. https://t.co/JIJXaOaQZn","The honor of the president visits Kassem village on the terrible massacre day in 1956, with 49 children and men, returning from work on their land. The president touched on one of the painful points, in relation to the state and the Arab citizens, and proved that he was a president of all citizens, demonstrated leadership, and presented a vision of hope and true partnership.","The honor of the president visits Kassem village on the terrible massacre day in 1956, with 49 children and men, returning from work on their land. The president touched on one of the painful points, in relation to the state and the Arab citizens, and proved that he was a president of all citizens, demonstrated leadership, and presented a vision of hope and true partnership.",0.85,-0.45
20,1420073927305572355,2021-07-27 17:29:42+00:00,mnsorabbas,"נפגשנו היום (סיעת רע״ם) עם כבוד הנשיא יצחק הרצוג @Isaac_Herzog , ברכנו אותו לרגל כניסתו לתפקיד. שיחה חשובה. תחושה של שותפות. https://t.co/UX1TsXV9h6","We met today (bad faction) with the honor of President Yitzhak Herzog, we were greeted by his entry into office. Important conversation. A sense of partnership.","We met today (bad faction) with the honor of President Yitzhak Herzog, we were greeted by his entry into office. Important conversation. A sense of partnership.",0.8333333333333333,-0.1499999999999999
21,1388033561152868353,2021-04-30 07:32:44+00:00,mnsorabbas,"תחושה קשה עקב האסון הנורא במירון
מביעים צער עמוק על הקורבנות, ומתפללים לרפואה מהירה ושלמה של הפצועים
תנחומינו למשפחות האבלות
מי ייתן ולא נדע עוד צער","A hard feeling due to the terrible disaster in Meron 
 Express deep grief on the victims, and pray for quick and complete medicine of the wounded 
 Our condolences to the families of mourning 
 May and we will not know more grief","A hard feeling due to the terrible disaster in Meron 
 Express deep grief on the victims, and pray for quick and complete medicine of the wounded 
 Our condolences to the families of mourning 
 May and we will not know more grief",0.4574074074074074,-0.2314814814814815
22,1345473875203776512,2021-01-02 20:55:44+00:00,mnsorabbas,"שמחתי לזהות ראשון ולהוביל את השינוי בתפישה של הפוליטיקאים בימין הישראלי כלפי החברה הערבית, מיחס עוין לאזרחי המדינה הערבים ליחס שמציב אותם במרכז השיח הפוליטי בצל מערכת בחירות מורכבת זו! אנו בניה ופניה של החברה הערבית שמיצגים אותה בכבוד, ממליץ לכם לחפש קולות בחדרה ולא באום אלפחם.","I was happy to identify first and lead the change in the concept of politicians in the Israeli right towards Arab society, hostile to Arab citizens of the state to the attitude that places them in the center of the political discourse in the shadow of this complex election campaign! We are the sons of the Arab society that represents it with respect, recommends you look for voices in Hadera and not in Umm Alphabet.","I was happy to identify first and lead the change in the concept of politicians in the Israeli right towards Arab society, hostile to Arab citizens of the state to the attitude that places them in the center of the political discourse in the shadow of this complex election campaign! We are the sons of the Arab society that represents it with respect, recommends you look for voices in Hadera and not in Umm Alphabet.",0.41150793650793654,0.14345238095238097
